episode_num,episode_title,episode_date,poll_vote,forum_link,sentiments,normalized_poll_vote,sentiment_score,normalized_comments,success_metric
1,The Journey's End,2023-09-29,4.4,https://myanimelist.net/forum/?topicid=2120196,"({'positive': 69.6027633851468, 'neutral': 13.81692573402418, 'negative': 16.580310880829018}, 579)",0.8500000000000001,0.5302245250431779,6.363028103540465,2.060813157145911
2,It Didn't Have to Be Magic…,2023-09-29,4.4,https://myanimelist.net/forum/?topicid=2120201,"({'positive': 70.60931899641577, 'neutral': 17.562724014336915, 'negative': 11.827956989247312}, 279)",0.8500000000000001,0.5878136200716846,5.634789603169249,2.283354095096711
3,Killing Magic,2023-09-29,4.5,https://myanimelist.net/forum/?topicid=2120204,"({'positive': 67.81115879828327, 'neutral': 16.738197424892704, 'negative': 15.450643776824036}, 233)",0.875,0.5236051502145923,5.455321115357702,2.2843200901672516
4,The Land Where Souls Rest,2023-09-29,4.5,https://myanimelist.net/forum/?topicid=2120213,"({'positive': 70.77922077922078, 'neutral': 18.181818181818183, 'negative': 11.03896103896104}, 308)",0.875,0.5974025974025974,5.733341276897746,2.3725159911168987
5,Phantoms of the Dead,2023-10-06,4.5,https://myanimelist.net/forum/?topicid=2121781,"({'positive': 65.80086580086581, 'neutral': 18.181818181818183, 'negative': 16.017316017316016}, 231)",0.875,0.49783549783549785,5.44673737166631,2.2980222151546768
6,The Hero of the Village,2023-10-13,4.6,https://myanimelist.net/forum/?topicid=2123215,"({'positive': 63.43283582089553, 'neutral': 16.417910447761194, 'negative': 20.149253731343283}, 268)",0.8999999999999999,0.4328358208955224,5.594711379601839,2.30639235391301
7,Like a Fairy Tale,2023-10-20,4.6,https://myanimelist.net/forum/?topicid=2124448,"({'positive': 56.41025641025641, 'neutral': 14.285714285714285, 'negative': 29.304029304029307}, 273)",0.8999999999999999,0.27106227106227104,5.6131281063880705,2.272645682840838
8,Frieren the Slayer,2023-10-27,4.7,https://myanimelist.net/forum/?topicid=2126184,"({'positive': 56.11940298507463, 'neutral': 19.701492537313435, 'negative': 24.17910447761194}, 335)",0.925,0.3194029850746269,5.817111159963204,2.333539956969667
9,Aura the Guillotine,2023-11-03,4.8,https://myanimelist.net/forum/?topicid=2127375,"({'positive': 63.70023419203748, 'neutral': 16.159250585480095, 'negative': 20.140515222482435}, 427)",0.95,0.43559718969555045,6.059123195581797,2.4445650855617536
10,A Powerful Mage,2023-11-10,4.8,https://myanimelist.net/forum/?topicid=2129034,"({'positive': 56.60377358490566, 'neutral': 20.0, 'negative': 23.39622641509434}, 530)",0.95,0.3320754716981132,6.274762021241939,2.5003506446254513
11,Winter in the Northern Lands,2023-11-17,4.6,https://myanimelist.net/forum/?topicid=2130279,"({'positive': 73.33333333333333, 'neutral': 15.925925925925927, 'negative': 10.74074074074074}, 270)",0.8999999999999999,0.6259259259259259,5.602118820879701,2.4070988478577693
12,A Real Hero,2023-11-24,4.7,https://myanimelist.net/forum/?topicid=2131608,"({'positive': 69.3820224719101, 'neutral': 13.202247191011235, 'negative': 17.415730337078653}, 356)",0.925,0.5196629213483145,5.877735781779639,2.4323743877464308
13,Aversion to One's Own Kind,2023-12-01,4.6,https://myanimelist.net/forum/?topicid=2132987,"({'positive': 72.68722466960352, 'neutral': 14.977973568281937, 'negative': 12.334801762114537}, 227)",0.8999999999999999,0.6035242290748899,5.429345628954441,2.3413110614439407
14,Privilege of the Young,2023-12-08,4.7,https://myanimelist.net/forum/?topicid=2134291,"({'positive': 71.77914110429448, 'neutral': 16.257668711656443, 'negative': 11.96319018404908}, 326)",0.925,0.598159509202454,5.7899601708972535,2.4136076853859123
15,Smells Like Trouble,2023-12-15,4.7,https://myanimelist.net/forum/?topicid=2135481,"({'positive': 75.36231884057972, 'neutral': 16.666666666666664, 'negative': 7.971014492753622}, 276)",0.925,0.673913043478261,5.6240175061873385,2.409134558762878
16,Long-Lived Friends,2023-12-22,4.6,https://myanimelist.net/forum/?topicid=2136790,"({'positive': 70.09345794392523, 'neutral': 14.953271028037381, 'negative': 14.953271028037381}, 214)",0.8999999999999999,0.5514018691588786,5.3706380281276624,2.3077936140123545
17,Take Care,2024-01-05,4.6,https://myanimelist.net/forum/?topicid=2139152,"({'positive': 77.68595041322314, 'neutral': 12.396694214876034, 'negative': 9.917355371900827}, 242)",0.8999999999999999,0.6776859504132231,5.493061443340548,2.3446352519415314
18,First-Class Mage Exam,2024-01-12,4.6,https://myanimelist.net/forum/?topicid=2140470,"({'positive': 67.98029556650246, 'neutral': 17.733990147783253, 'negative': 14.285714285714285}, 203)",0.8999999999999999,0.5369458128078818,5.318119993844216,2.2749252646484073
19,Well-Laid Plans,2024-01-19,4.7,https://myanimelist.net/forum/?topicid=2141786,"({'positive': 60.851063829787236, 'neutral': 16.595744680851062, 'negative': 22.5531914893617}, 235)",0.925,0.3829787234042554,5.4638318050256105,2.2616839482695683
