episode_num,episode_title,poll_vote,forum_link,sentiments,normalized_poll_vote,sentiment_score,normalized_comments,success_metric
24,Hawk-Eye Mihawk! The Great Swordsman Zoro Falls At Sea!,4.6,https://myanimelist.net/forum/?topicid=103534,"({'positive': 68.88888888888889, 'neutral': 16.666666666666664, 'negative': 14.444444444444443}, 90)",0.8999999999999999,0.5444444444444444,4.51085950651685,1.9163032749469773
25,The Deadly Foot Technique Bursts Forth! Sanji vs. The Invincible Pearl!,4.2,https://myanimelist.net/forum/?topicid=122176,"({'positive': 44.44444444444444, 'neutral': 22.22222222222222, 'negative': 33.33333333333333}, 45)",0.8,0.11111111111111115,3.828641396489095,1.664013945636796
26,Zeff and Sanji's Dream! The Illusory All Blue!,4.5,https://myanimelist.net/forum/?topicid=122180,"({'positive': 67.6923076923077, 'neutral': 4.615384615384616, 'negative': 27.692307692307693}, 65)",0.875,0.4,4.189654742026425,1.7821671719158054
27,"Cool-headed, Cold-hearted Demon! Pirate Fleet Chief Commander Gin!",4.3,https://myanimelist.net/forum/?topicid=122196,"({'positive': 46.875, 'neutral': 18.75, 'negative': 34.375}, 32)",0.825,0.125,3.4965075614664802,1.5571686833455713
28,"I Won't Die! Fierce Battle, Luffy vs. Krieg!",4.3,https://myanimelist.net/forum/?topicid=122201,"({'positive': 60.526315789473685, 'neutral': 5.263157894736842, 'negative': 34.21052631578947}, 38)",0.825,0.26315789473684215,3.6635616461296463,1.577222056053015
29,The Conclusion of the Deadly Battle! A Spear of Blind Determination!,4.3,https://myanimelist.net/forum/?topicid=103876,"({'positive': 62.68656716417911, 'neutral': 14.925373134328357, 'negative': 22.388059701492537}, 67)",0.825,0.4029850746268657,4.219507705176107,1.756178708963997
30,Set Sail! The Seafaring Cook Sets off With Luffy!,4.5,https://myanimelist.net/forum/?topicid=122230,"({'positive': 66.27906976744185, 'neutral': 13.953488372093023, 'negative': 19.767441860465116}, 86)",0.875,0.46511627906976744,4.465908118654584,1.890550776672087
31,The Worst Man in the Eastern Seas! Fishman Pirate Arlong!,4.2,https://myanimelist.net/forum/?topicid=44902,"({'positive': 59.42028985507246, 'neutral': 13.043478260869565, 'negative': 27.536231884057973}, 69)",0.8,0.3188405797101449,4.248495242049359,1.8144716496078976
32,Witch of Cocoyashi Village! Arlong's Female Leader!,4.4,https://myanimelist.net/forum/?topicid=122480,"({'positive': 64.28571428571429, 'neutral': 16.071428571428573, 'negative': 19.642857142857142}, 56)",0.8500000000000001,0.4464285714285715,4.04305126783455,1.7884878722177548
33,Usopp Dead?! When is Luffy Going to Make Landfall?!,4.3,https://myanimelist.net/forum/?topicid=122498,"({'positive': 78.26086956521739, 'neutral': 6.521739130434782, 'negative': 15.217391304347828}, 46)",0.825,0.6304347826086957,3.8501476017100584,1.7735175641341272
